  id grp hmadj1 hmadj2 hmadj3 hmadj4
 102 2       18   10   15   14
 103 2       14   12   11   19
 105 2       20   20   12   18
 106 2       19   16   19   17
 107 1       18   11   15   31
 108 1       20   21   14   17
 110 2       23   20   23   29
 111 2       14   15   11   13
 115 1       15   10    9   25
 116 2       28   25   24   22
 201 1       25   26   29   34
 202 2       33   35   16   22
 203 1       12    9    8   11
 204 1       25   19   21   22
 205 2       25   18   21   21
 207 1       13   17   16   13
 209 1       17   20   18   23
 210 1       29   25   19   28
 212 1       14    8    8    8
 213 2       16   11   12   34
 214 1       13   13   17   16
 215 1       31   26   22   27
 216 2       17   13   16   19
 301 1       17   14   14   16
 302 1       21   21   11   26
 303 1       17   15   11   19
 305 1       16   10   10   13
 308 2       16   12   12   15
 309 2       17   14   20   27
 313 1       15   10   11   12
 315 2       14   10   14   22
 316 1       16   16   15   16
 319 1       14   11   10   17
 401 2       20   14   13   11
 402 1       26   17   17   22
 407 2       29   16   21   26
 410 2       22   14   20   18
 412 2       16   16   17   11
 413 2       15   16   22   22
 414 2       34   34   34   36
 501 2       18   13   13   16
 502 2       20   12   16   19
 503 2       12    9   15    9
 511 1       22   19   20   19
 512 2       32   36   38   33
 513 1       11   10    8    8
 515 2       21   19   25   25
 516 1       24   22   20   22
 517 1       22   16   16   24
 519 2       27   21   22   19
 520 1       13   10   12   12
 521 1       12   17   23   23
 523 1       18   14   14   18
 524 2       20   17   16   15
 526 1       40   26   24   31
 527 1       22   12   12   12
 530 1       20   23   27   13
 531 1       17   14   17   15
 535 1       10    8   12   14
 537 2       15   13   16   27
 538 2       21   14   11   14
 539 2       14    8    8   10
 540 1       14   11   13   21
 541 2       20   15   13   21
 542 1       18   10    9    8
 543 1       16    9   10   12
 544 1       19   12   14   19
 546 1       13   16   18   23
 547 2       30   22   15   17
 549 1       18   15   19   20
 550 1       16   15   14   31
 551 1       22   16   20   20
 553 1       14   10   11   14
 554 2       19   18   18   18
 557 1       15   14   15   14
 559 1       22   19   20   25
 560 1       44   26   22   22
 561 2       14   11    9   10
 563 1       13   14    9   15
 564 2       17   12   17   19
 565 1       16   11   11   15
 566 1       29   23   20   14
 570 2       23   14   15   21
 572 2       24   29   13   12
 573 2       16    9   10   12
 575 1       21   20   18   26
 576 1       16   13   10   10
 577 2       17   12   11   11
 578 1       33   19   21   26
 580 2       14   17   22    8
 582 1       27   15   19   19
 583 2       17   10   12    9
 586 1       17   15   12   16
 587 1       18   37   11   18
 588 1       25   22   19   16
 589 1       26   28   22   17
 590 1       15   17   12   21
 591 1       26   28   36   33
 592 2       15   16   17   29
 594 1       16   15   10   11
 599 1       18   17   25   33
 603 1       19   13   17   15
 605 2       18   11   16   30
 607 2       18   12    9   12
 609 1       25   15   36   25
 610 1       21   12   23   28
 612 1       32   25   31   28
 616 1       15   14   15   14
 619 1       16   10   12   14
 620 2       16   13   10   12
